time,H986,H1222,H1827,H3434
361597501.0000,31.27200186,31.65079716,31.97171352,32.17004875
362912401.0000,31.27200167,31.65079697,31.97171333,32.17004856
364227301.0000,31.27200144,31.65079672,31.97171308,32.17004831
365542201.0000,31.27200126,31.65079653,31.97171289,32.17004812
366857101.0000,31.27200103,31.65079629,31.97171264,32.17004787
368172001.0000,31.27200085,31.65079610,31.97171245,32.17004768
369486901.0000,31.27200062,31.65079586,31.97171220,32.17004744
370801801.0000,31.27200044,31.65079566,31.97171201,32.17004725
372116701.0000,31.27200021,31.65079543,31.97171176,32.17004701
373431601.0000,31.27200003,31.65079524,31.97171157,32.17004682
374746501.0000,31.27199980,31.65079500,31.97171132,32.17004658
376061401.0000,31.27199962,31.65079481,31.97171114,32.17004639
377376301.0000,31.27199940,31.65079457,31.97171089,32.17004615
378691201.0000,31.27199922,31.65079439,31.97171071,32.17004597
380006101.0000,31.27199900,31.65079415,31.97171046,32.17004573
381321001.0000,31.27199882,31.65079397,31.97171028,32.17004554
382635901.0000,31.27199860,31.65079373,31.97171004,32.17004531
383950801.0000,31.27199842,31.65079355,31.97170985,32.17004512
385265701.0000,31.27199821,31.65079331,31.97170961,32.17004489
386580601.0000,31.27199803,31.65079313,31.97170943,32.17004471
387895501.0000,31.27199781,31.65079290,31.97170919,32.17004447
389210401.0000,31.27199764,31.65079272,31.97170901,32.17004429
390525301.0000,31.27199742,31.65079249,31.97170877,32.17004406
391840201.0000,31.27199725,31.65079231,31.97170859,32.17004388
393155101.0000,31.27199703,31.65079208,31.97170835,32.17004365
394470001.0000,31.27199686,31.65079190,31.97170817,32.17004347
395784901.0000,31.27199664,31.65079167,31.97170794,32.17004324
397099801.0000,31.27199647,31.65079149,31.97170776,32.17004306
398414701.0000,31.27199626,31.65079127,31.97170753,32.17004283
399729601.0000,31.27199609,31.65079109,31.97170735,32.17004266
401044501.0000,31.27199588,31.65079087,31.97170712,32.17004243
402359401.0000,31.27199571,31.65079069,31.97170694,32.17004225
403674301.0000,31.27199550,31.65079047,31.97170671,32.17004203
404989201.0000,31.27199533,31.65079029,31.97170654,32.17004185
406304101.0000,31.27199512,31.65079007,31.97170631,32.17004163
407619001.0000,31.27199495,31.65078989,31.97170614,32.17004146
408933901.0000,31.27199474,31.65078967,31.97170591,32.17004123
410248801.0000,31.27199458,31.65078950,31.97170573,32.17004106
411563701.0000,31.27199437,31.65078928,31.97170551,32.17004084
412878601.0000,31.27199421,31.65078911,31.97170534,32.17004067
414193501.0000,31.27199400,31.65078889,31.97170511,32.17004044
415508401.0000,31.27199384,31.65078872,31.97170494,32.17004028
416823301.0000,31.27199363,31.65078850,31.97170472,32.17004005
418138201.0000,31.27199347,31.65078833,31.97170455,32.17003989
419453101.0000,31.27199326,31.65078812,31.97170433,32.17003967
420768001.0000,31.27199310,31.65078795,31.97170416,32.17003950
422082901.0000,31.27199290,31.65078773,31.97170394,32.17003928
423397801.0000,31.27199274,31.65078757,31.97170377,32.17003912
424712701.0000,31.27199254,31.65078735,31.97170355,32.17003890
426027601.0000,31.27199238,31.65078719,31.97170338,32.17003873
