time,T1038,T2571,T4587,T6376,T7640,T9105,T9625,T9989,T10169
230107501.0000,20.99986195,20.92355743,16.34174067,15.88241790,16.91388677,16.79416934,15.99999878,15.99999978,15.99999923
231422401.0000,20.99988690,20.97275869,17.59896923,15.27100014,16.89372182,16.79813529,15.99999895,15.99999978,15.99999922
232737301.0000,20.99989097,20.99023873,18.63881672,14.79341361,16.86669703,16.80185937,15.99999915,15.99999978,15.99999921
234052201.0000,20.99989208,20.99630804,19.43084997,14.49155054,16.83352012,16.80535330,15.99999937,15.99999978,15.99999919
235367101.0000,20.99989221,20.99840119,19.99498063,14.37679345,16.79658645,16.80862286,15.99999963,15.99999977,15.99999918
236682001.0000,20.99989264,20.99912548,20.37538948,14.42559616,16.76415235,16.81166887,15.99999992,15.99999977,15.99999917
237996901.0000,20.99989264,20.99938223,20.62077855,14.55630401,16.73926977,16.81450545,16.00000025,15.99999977,15.99999916
239311801.0000,20.99989305,20.99947396,20.77355026,14.82561436,16.72331293,16.81714569,16.00000063,15.99999977,15.99999914
240626701.0000,13.40191930,19.22546262,20.83260952,15.28679940,16.71753550,16.81960168,16.00000106,15.99999976,15.99999913
241941601.0000,11.38798647,16.35094924,20.74778122,15.86896255,16.72000544,16.82188465,16.00000154,15.99999976,15.99999912
243256501.0000,11.05487861,13.86201435,20.35820082,16.50558256,16.72489636,16.82400495,16.00000209,15.99999976,15.99999910
244571401.0000,11.00768757,12.31940341,19.58345015,17.14636174,16.73387771,16.82597216,16.00000270,15.99999975,15.99999909
245886301.0000,11.00113601,11.54567560,18.44707346,17.75320747,16.74828728,16.82779516,16.00000339,15.99999975,15.99999908
247201201.0000,11.00018379,11.20904157,17.08627856,18.29272515,16.76850097,16.82948217,16.00000416,15.99999975,15.99999907
248516101.0000,11.00003401,11.07610550,15.68865030,18.73254335,16.79562369,16.83104085,16.00000503,15.99999975,15.99999905
249831001.0000,11.00000842,11.02690388,14.41768610,19.03683720,16.82891430,16.83247832,16.00000600,15.99999974,15.99999904
251145901.0000,11.00000352,11.00942640,13.37041014,19.19437767,16.86597616,16.83380124,16.00000708,15.99999974,15.99999903
252460801.0000,11.00000273,11.00335669,12.57432424,19.18331913,16.89836218,16.83501591,16.00000828,15.99999974,15.99999902
253775701.0000,18.59797635,12.77516410,12.03723277,19.10139031,16.92317253,16.83612824,16.00000962,15.99999974,15.99999900
255090601.0000,20.61191087,15.64901345,11.82818495,18.89901422,16.93904615,16.83714390,16.00001111,15.99999973,15.99999899
256405501.0000,20.94501967,18.13774790,11.98285052,18.50391069,16.94475465,16.83806827,16.00001276,15.99999973,15.99999898
257720401.0000,20.99221232,19.68029588,12.60381998,17.94334783,16.94223929,16.83890658,16.00001459,15.99999973,15.99999897
259035301.0000,20.99876458,20.45400674,13.65547153,17.27909508,16.93731304,16.83966368,16.00001662,15.99999973,15.99999895
260350201.0000,20.99971775,20.79063492,14.96953574,16.57228552,16.92831122,16.84034427,16.00001886,15.99999972,15.99999894
261665101.0000,20.99986674,20.92357239,16.34174929,15.88246823,16.91392390,16.84095294,16.00002134,15.99999972,15.99999893
262980001.0000,20.99989173,20.97277392,17.59898014,15.27104780,16.89375973,16.84149413,16.00002407,15.99999972,15.99999892
264294901.0000,20.99989583,20.99025397,18.63883073,14.79345696,16.86673711,16.84197211,16.00002707,15.99999972,15.99999890
265609801.0000,20.99989693,20.99632336,19.43086727,14.49158919,16.83356194,16.84239098,16.00003038,15.99999971,15.99999889
266924701.0000,20.99989706,20.99841645,19.99500086,14.37682713,16.79662955,16.84275463,16.00003401,15.99999971,15.99999888
268239601.0000,20.99989747,20.99914080,20.37541209,14.42562855,16.76419547,16.84306673,16.00003800,15.99999971,15.99999887
269554501.0000,20.99989748,20.99939751,20.62080288,14.55633272,16.73931250,16.84333071,16.00004237,15.99999971,15.99999886
270869401.0000,20.99989787,20.99948933,20.77357581,14.82563800,16.72335502,16.84354969,16.00004716,15.99999970,15.99999885
272184301.0000,13.40192320,19.22547944,20.83263593,15.28681729,16.71757678,16.84372656,16.00005239,15.99999970,15.99999883
273499201.0000,11.38798935,16.35096606,20.74780897,15.86897706,16.72004671,16.84386399,16.00005811,15.99999970,15.99999882
274814101.0000,11.05488118,13.86202902,20.35823050,16.50559577,16.72493744,16.84396442,16.00006436,15.99999970,15.99999881
276129001.0000,11.00769004,12.31941552,19.58348213,17.14637515,16.73391841,16.84403011,16.00007116,15.99999969,15.99999880
277443901.0000,11.00113844,11.54568570,18.44710722,17.75322224,16.74832746,16.84406311,16.00007857,15.99999969,15.99999879
278758801.0000,11.00018620,11.20905054,17.08631289,18.29274229,16.76854058,16.84406536,16.00008663,15.99999969,15.99999877
